PCODE,HIT_VEL,HIT_ANG_VER,R,RBI,NAME,GYEAR,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,AGE_VA,OBP,OPS
60100,138.38,22.8,21.0,18.0,백창수,2018,70,169,152,0.243,37,3,63,0.414,1,12,36,0,4,5,30,0.3136094674556213,0.7276094674556213
60343,137.37,18.7,19.0,24.0,이해창,2018,83,174,162,0.216,35,8,63,0.389,0,8,49,0,3,3,31,0.2658959537572254,0.6548959537572254
60523,141.155,15.1,33.0,26.0,정훈,2018,91,194,174,0.305,53,7,86,0.494,3,16,39,1,1,4,30,0.36082474226804123,0.8548247422680413
60558,135.625,11.4,55.0,39.0,오태곤,2018,128,374,342,0.254,87,12,144,0.421,1,24,92,0,4,7,26,0.30997304582210244,0.7309730458221024
60566,117.0,6.2,32.0,8.0,이상호,2018,114,204,187,0.251,47,0,49,0.262,0,8,15,0,2,8,29,0.2893401015228426,0.5513401015228426
60605,129.12,15.1,16.0,9.0,홍재호,2018,56,87,76,0.263,20,1,29,0.382,0,8,12,0,0,2,31,0.3333333333333333,0.7153333333333334
61102,139.57,15.8,53.0,66.0,유강남,2018,132,465,425,0.296,126,19,216,0.508,1,28,80,1,9,21,25,0.35205183585313177,0.8600518358531317
61114,129.31,25.15,5.0,3.0,김재율,2018,25,41,36,0.222,8,0,11,0.306,0,3,9,0,2,1,29,0.3170731707317073,0.6230731707317073
61186,133.805,8.45,61.0,39.0,이천웅,2018,112,405,359,0.34,122,2,156,0.435,2,39,48,2,3,11,29,0.40694789081885857,0.8419478908188586
61197,135.095,9.45,13.0,18.0,최영진,2018,61,140,126,0.294,37,4,56,0.444,2,10,30,0,0,6,30,0.34057971014492755,0.7845797101449276
61204,140.39999999999998,14.5,11.0,9.0,김동한,2018,55,96,83,0.193,16,2,23,0.277,2,9,18,0,0,1,30,0.26595744680851063,0.5429574468085107
61208,133.02,7.05,53.0,37.0,정진호,2018,111,299,269,0.301,81,2,101,0.375,1,19,44,0,1,8,29,0.3482758620689655,0.7232758620689654
61353,138.12,9.9,47.0,54.0,고종욱,2018,102,351,330,0.279,92,6,132,0.4,4,15,96,1,1,2,29,0.30857142857142855,0.7085714285714286
61404,132.89499999999998,10.75,77.0,71.0,김헌곤,2018,141,586,513,0.3,154,11,217,0.423,4,54,70,1,10,13,29,0.37521514629948366,0.7982151462994836
61554,134.49,12.2,13.0,17.0,김민하,2018,59,108,97,0.216,21,3,34,0.351,1,5,30,0,3,6,29,0.27358490566037735,0.6245849056603774
61591,129.44,5.7,7.0,6.0,김사훈,2018,56,79,74,0.23,17,0,20,0.27,0,1,22,0,1,0,31,0.25,0.52
61652,120.52,13.6,6.0,2.0,윤정우,2018,22,43,40,0.25,10,1,15,0.375,0,2,7,0,1,4,30,0.3023255813953488,0.6773255813953488
61700,134.89,11.4,42.0,27.0,강경학,2018,77,289,245,0.278,68,5,96,0.392,1,38,59,0,4,7,25,0.3819444444444444,0.7739444444444444
61743,133.52,16.7,5.0,2.0,오준혁,2018,30,50,44,0.136,6,0,6,0.136,1,3,11,0,1,1,26,0.20408163265306123,0.34008163265306124
61869,128.2,17.7,33.0,17.0,정진기,2018,96,212,201,0.244,49,3,68,0.338,0,6,45,0,2,2,25,0.2727272727272727,0.6107272727272728
62016,133.615,8.3,3.0,0.0,윤병호,2018,14,37,33,0.182,6,0,7,0.212,0,2,10,0,1,0,29,0.25,0.46199999999999997
62025,135.875,11.5,12.0,19.0,이원재,2018,77,150,138,0.304,42,5,67,0.486,2,10,33,0,0,3,29,0.3466666666666667,0.8326666666666667
62164,142.735,8.55,10.0,14.0,서상우,2018,51,84,69,0.29,20,2,26,0.377,2,12,18,0,1,1,28,0.39285714285714285,0.7698571428571428
62234,127.68,4.15,52.0,29.0,류지혁,2018,128,280,228,0.268,61,1,71,0.311,2,29,43,0,10,3,24,0.37174721189591076,0.6827472118959108
62244,134.95,19.8,37.0,22.0,박세혁,2018,89,194,170,0.282,48,3,69,0.406,1,16,55,0,4,0,28,0.35602094240837695,0.762020942408377
62265,142.12,11.600000000000001,9.0,14.0,유민상,2018,31,58,48,0.271,13,3,26,0.542,2,8,14,0,0,3,29,0.3620689655172414,0.9040689655172414
62332,125.77,15.1,22.0,18.0,김재현,2018,116,234,202,0.228,46,3,62,0.307,3,12,58,0,8,2,25,0.29333333333333333,0.6003333333333334
62356,132.26999999999998,5.7,47.0,40.0,김규민,2018,104,336,298,0.295,88,3,110,0.369,4,27,89,0,6,3,25,0.3611940298507463,0.7301940298507463
62404,139.37,13.0,100.0,84.0,구자욱,2018,116,529,478,0.333,159,20,255,0.533,2,43,110,2,5,4,25,0.39204545454545453,0.9250454545454545
62409,137.155,14.55,13.0,5.0,박찬도,2018,54,82,73,0.233,17,0,23,0.315,0,8,28,0,0,0,29,0.30864197530864196,0.623641975308642
62415,131.77499999999998,14.7,114.0,68.0,박해민,2018,144,649,576,0.299,172,9,249,0.432,6,56,99,0,3,9,28,0.36037441497659906,0.792374414976599
62537,127.4,20.4,8.0,8.0,윤수강,2018,44,79,73,0.192,14,1,23,0.315,0,5,21,0,0,1,28,0.24358974358974358,0.5585897435897436
62556,135.79,12.6,55.0,71.0,신본기,2018,139,479,425,0.294,125,11,188,0.442,5,33,95,2,11,12,29,0.35654008438818563,0.7985400843881856
62700,134.405,5.85,67.0,52.0,하주석,2018,141,517,484,0.254,123,9,176,0.364,0,28,130,0,4,7,24,0.3003875968992248,0.6643875968992248
62797,130.84,11.8,32.0,13.0,양성우,2018,73,236,209,0.254,53,2,68,0.325,1,22,32,2,4,8,29,0.3347457627118644,0.6597457627118644
62802,131.11,9.7,11.0,9.0,박승욱,2018,51,79,65,0.308,20,0,23,0.354,0,10,16,0,2,1,25,0.4155844155844156,0.7695844155844156
62864,130.71,13.1,53.0,37.0,김민식,2018,125,365,310,0.245,76,6,109,0.352,2,39,63,0,3,8,29,0.3333333333333333,0.6853333333333333
62884,131.09,14.0,38.0,35.0,최항,2018,98,257,222,0.293,65,7,100,0.45,0,25,57,0,8,1,24,0.3843137254901961,0.8343137254901961
62893,129.31,-3.4,17.0,6.0,최정민,2018,57,95,83,0.253,21,2,29,0.349,0,7,20,0,1,2,29,0.31868131868131866,0.6676813186813186
62895,140.605,20.15,97.0,115.0,한동민,2018,136,562,486,0.284,138,41,292,0.601,8,52,124,3,16,10,28,0.3665480427046263,0.9675480427046264
62907,136.765,9.399999999999999,68.0,33.0,박민우,2018,115,460,411,0.324,133,5,180,0.438,4,32,51,3,10,4,25,0.38293216630196936,0.8209321663019693
62908,124.195,20.9,11.0,4.0,황윤호,2018,82,62,57,0.158,9,0,10,0.175,0,0,6,0,3,2,24,0.2,0.375
62925,119.94999999999999,9.350000000000001,5.0,1.0,강진성,2018,45,75,68,0.235,16,0,19,0.279,1,4,17,0,0,3,24,0.273972602739726,0.552972602739726
62931,141.875,12.2,52.0,42.0,노진혁,2018,125,458,420,0.283,119,11,181,0.431,2,33,92,0,2,8,28,0.33698030634573306,0.7679803063457331
62934,133.9,15.6,49.0,45.0,김성욱,2018,111,358,323,0.26,84,13,140,0.433,3,29,64,0,1,10,25,0.3202247191011236,0.7532247191011237
62947,143.0,11.7,110.0,91.0,나성범,2018,144,620,556,0.318,177,23,288,0.518,5,44,131,4,15,11,28,0.38064516129032255,0.8986451612903226
63123,132.385,16.1,14.0,31.0,강승호,2018,69,212,184,0.255,47,3,66,0.359,1,18,57,0,3,2,24,0.3300970873786408,0.6890970873786408
63257,140.26,14.850000000000001,16.0,10.0,김인태,2018,46,109,95,0.263,25,1,35,0.368,1,12,26,0,0,0,24,0.3425925925925926,0.7105925925925927
63260,134.07,10.8,24.0,24.0,이우성,2018,71,199,177,0.226,40,4,61,0.345,1,16,57,0,4,6,23,0.30303030303030304,0.648030303030303
63450,128.14,17.1,16.0,9.0,정현,2018,65,132,117,0.265,31,2,44,0.376,0,9,28,0,0,3,24,0.31746031746031744,0.6934603174603174
63593,128.7,6.25,14.0,1.0,조홍석,2018,39,71,62,0.226,14,0,15,0.242,0,6,13,0,2,2,28,0.3142857142857143,0.5562857142857143
63704,130.7,12.850000000000001,93.0,53.0,노수광,2018,135,588,515,0.313,161,8,222,0.431,3,48,86,0,13,3,27,0.38341968911917096,0.814419689119171
63722,132.7,13.0,10.0,15.0,한승택,2018,61,101,89,0.247,22,3,37,0.416,0,7,24,0,2,4,24,0.3163265306122449,0.7323265306122448
63963,136.26,19.45,43.0,57.0,권희동,2018,104,391,343,0.283,97,8,142,0.414,4,35,58,2,4,5,27,0.35233160621761656,0.7663316062176165
64006,125.32,14.0,49.0,29.0,심우준,2018,135,403,367,0.259,95,4,136,0.371,1,20,58,1,4,4,23,0.30357142857142855,0.6745714285714286
64022,134.575,5.949999999999999,19.0,19.0,안중열,2018,60,176,154,0.247,38,4,61,0.396,0,12,56,0,3,4,22,0.3136094674556213,0.7096094674556213
64153,136.25,21.9,53.0,82.0,양석환,2018,140,519,483,0.263,127,22,220,0.455,5,24,81,0,6,9,26,0.3030888030888031,0.7580888030888031
64300,139.63,20.1,95.0,84.0,김하성,2018,129,576,511,0.288,147,20,242,0.474,5,54,81,2,5,16,22,0.3582608695652174,0.8322608695652174
64346,137.70999999999998,9.45,76.0,60.0,임병욱,2018,134,447,423,0.293,124,13,198,0.468,2,22,119,1,0,6,22,0.32662192393736017,0.7946219239373602
64410,123.48,12.5,3.0,5.0,백승민,2018,14,32,31,0.258,8,0,10,0.323,0,1,9,0,0,1,28,0.28125,0.60425
64610,127.83,8.05,20.0,8.0,강한울,2018,83,209,193,0.259,50,0,59,0.306,0,12,34,0,1,1,26,0.3058252427184466,0.6118252427184465
64657,132.6,15.4,32.0,24.0,박준태,2018,85,150,123,0.228,28,5,50,0.407,0,13,37,0,9,1,26,0.3448275862068966,0.7518275862068966
64717,137.82,16.3,22.0,29.0,지성준,2018,99,224,207,0.275,57,7,85,0.411,1,12,55,0,2,6,24,0.31981981981981983,0.7308198198198198
64984,125.38,13.9,5.0,3.0,김태진,2018,20,35,31,0.355,11,1,14,0.452,0,3,5,0,0,0,22,0.4117647058823529,0.863764705882353
65115,131.67,1.5,13.0,10.0,안익훈,2018,62,135,123,0.22,27,0,31,0.252,1,8,12,0,1,4,22,0.2706766917293233,0.5226766917293233
65136,142.82,11.350000000000001,6.0,5.0,박지규,2018,26,53,47,0.17,8,1,13,0.277,1,3,17,0,0,2,26,0.21568627450980393,0.49268627450980396
65269,137.8,11.3,7.0,10.0,김민혁,2018,22,58,53,0.226,12,2,20,0.377,0,5,19,0,0,3,22,0.29310344827586204,0.6701034482758621
65357,137.075,10.55,35.0,45.0,송성문,2018,78,238,211,0.313,66,7,106,0.502,1,24,49,0,0,2,21,0.3813559322033898,0.8833559322033898
65586,139.89,13.9,18.0,13.0,전병우,2018,27,77,66,0.364,24,3,40,0.606,1,9,24,0,1,1,25,0.44155844155844154,1.0475584415584416
66209,127.66,5.05,35.0,17.0,조수행,2018,119,198,183,0.279,51,1,68,0.372,1,9,33,0,0,4,24,0.31088082901554404,0.682880829015544
66354,128.18,10.2,9.0,12.0,주효상,2018,80,126,110,0.218,24,1,30,0.273,0,10,36,0,2,2,20,0.29508196721311475,0.5680819672131148
66462,122.96000000000001,6.3,24.0,24.0,김성훈,2018,110,212,185,0.243,45,0,60,0.324,2,16,23,0,6,2,24,0.32057416267942584,0.6445741626794259
66508,132.69,7.0,23.0,1.0,나경민,2018,87,71,57,0.263,15,0,17,0.298,0,10,21,0,3,0,26,0.4,0.698
66606,132.04000000000002,6.699999999999999,46.0,32.0,최원준,2018,101,331,302,0.272,82,4,110,0.364,1,20,58,0,4,4,21,0.3241590214067278,0.6881590214067278
66615,126.16,11.5,9.0,13.0,류승현,2018,35,85,75,0.307,23,1,31,0.413,1,7,12,0,1,2,21,0.36904761904761907,0.7820476190476191
66702,125.97999999999999,-0.15,6.0,2.0,이동훈,2018,28,50,46,0.239,11,1,15,0.326,0,3,8,0,1,1,21,0.3,0.626
66706,145.44,11.5,9.0,2.0,장진혁,2018,50,48,42,0.214,9,0,15,0.357,0,4,11,0,2,0,24,0.3125,0.6695
66838,137.48,15.2,58.0,76.0,김동엽,2018,124,446,421,0.252,106,27,202,0.48,3,17,108,0,4,13,27,0.2853932584269663,0.7653932584269663
66917,126.435,14.4,24.0,9.0,김찬형,2018,63,160,142,0.232,33,1,41,0.289,1,8,28,0,8,1,20,0.3081761006289308,0.5971761006289308
66965,133.54500000000002,13.45,5.0,5.0,도태훈,2018,26,42,35,0.229,8,1,11,0.314,0,5,5,0,2,0,25,0.35714285714285715,0.6711428571428572
66968,117.73500000000001,7.449999999999999,8.0,1.0,이재율,2018,33,45,41,0.171,7,0,10,0.244,0,2,10,0,2,0,25,0.24444444444444444,0.48844444444444446
67025,143.09,14.5,114.0,114.0,로하스,2018,144,645,564,0.305,172,43,333,0.59,2,71,142,4,7,10,28,0.38819875776397517,0.9781987577639751
